critic_name,reviews_count
Diana Drumm,1
Helen Roxburgh,1
Nevin Martell,1
Helen Herimbi,1
Helen Cowley,1
Helen Brown,1
Hedy Weiss,1
Diedre Johnson,1
Thom Koschwanez,1
Yvonne Dennis,1
Heather Ronaldson,1
Diego Salgado,1
Nestor Ramos,1
Heather Newgen,1
Dilara Elbir,1
Allison Corneau,1
Heather Gunn,1
Tom Ragan,1
Allison Keene,1
Doly Mallet,1
Michael Koresky,1
Michael Lawson,1
Luke Rodriguez,1
Tom Nawrocki,1
Tom Milne,1
Sean Murphy,1
Dominic Power,1
Hays Davis,1
Hayley Kaufman,1
Hayley Campbell,1
Dominique S. Johnson,1
Don Aucoin,1
Don Druker,1
Tom Mansell,1
Thomas Alexander,1
Ron Martinez,1
Harry Windsor,1
Leo Goldsmith,1
Sam Allard,1
Kelsey Adams,1
Michael Mehle,1
Leo Lewis,1
Yvette Caster,1
Donna Bowman,1
Harry Hartoonian,1
Thomas Atkinson,1
Kelsea Stahler,1
Harriet Warman,1
Almir Omerspahic,1
Kelly Marages,1
Kelly Lawler,1
Harriet Fitch Little,1
Alvaro Corujo,1
Michael Mirasol,1
Tom Hughes,1
Doug Kim,1
Hans Rollman,1
Hannah Lamarque,1
Samantha Highfill,1
Hannah Barry,1
Hank Gallo,1
Hal Lipper,1
Douglas Perry,1
Michael S. Smith,1
Thomas H Green,1
Guy Haley,1
Aly Semigran,1
Michael Sauter,1
Gregory Lewis,1
Neil Bastian,1
Drew Lazor,1
Shannon Sampert,1
Michael Snyder,1
Gregg Shapiro,1
Greg Wetherall,1
Greg Tasker,1
Michael Soccio,1
Greg Oliver,1
Greg Kot,1
Shannon Miller,1
Duncan Gray,1
Michael T. Grace,1
Graydon Royce,1
Leo Owen,1
Dustin Krcatovich,1
Dustin Parkes,1
Shannon Hood,1
Michal Schick,1
Michelle Adamson,1
Thomas Pemberton,1
Dylan Green,1
Luke Ryan,1
Dylan Rainforth,1
Tom Grieve,1
Kelly Clarke,1
Thomas Quinn,1
Alyx Gorman,1
Graham Ambrose,1
Adam Barnhardt,1
Ed Cumming,1
Tiffany Kelly,1
Nathan Shafer,1
Tom Green,1
Sebastian Cordoba,1
Tiffany Maleshefski,1
Ed Hulse,1
Ed Lauder,1
Ron Bishow,1
Grace Murphy,1
Romy Somerset,1
Gordon Bass,1
Gonzalo de Pedro,1
Kelly Boutsalis,1
Ed Symkus,1
Michelle Goldberg,1
Nathan Lawrence,1
Glynn Morgan,1
Michelle Lamont,1
Tim Alamenciak,1
Tom Graham,1
Michelle Santilli,1
Lauren Kane,1
Glenn Ficarra and John Requa,1
Nathan Adams,1
Glenn Collins,1
Edurne Larumbe Villarreal,1
Glenn Alderson,1
Edward Boxler,1
Edward Darell,1
Tom Gliatto,1
Laura Birnbaum,1
Keli Williams,1
Amanda Platell,1
Tom Eagar,1
Edward Karam,1
Edward Lawrenson,1
Edward Perkis,1
Amanda Reyes,1
Glen Chapman,1
Edwin Peters,1
Eilish O'Sullivan,1
Mick Corfield,1
Elaine Cho,1
Elaine Lee,1
Shana O'Neil,1
Giovana Ruaro,1
Gina Morris,1
Sandra Barrera,1
Gina Fattore,1
Roger Showley,1
Gill Crawford,1
Mick O'Reilly,1
Eliot Forbes,1
Elisa Adams,1
Elisa Roche,1
Elisabeth Leitch,1
Elise De Los Santos,1
Natasha Aitken,1
Gilbert Adair,1
Elissa Suh,1
Elizabeth Blozan,1
Yonca Talu,1
Mickey Ellison,1
Elizabeth M. Tamny,1
Laura Bennett,1
Elizabeth Paulsen,1
Elizabeth Rayne,1
Elizabeth Renzetti,1
Sandra Varner,1
Ella Donald,1
Natalie Stone,1
Gianni Marini,1
Ellen Brait,1
Gerri Kobren,1
Ellen Dunkel,1
Ellen Dwyer,1
Natalie Southwick,1
Germain Lussier,1
Ellen Killoran,1
Natalie Daher,1
Gerardo Salinas,1
Luke Walpole,1
Gerard Raymond,1
Liam Underwood,1
Ellie Hervé,1
Mieke VanderBorght,1
Miguel Rivera,1
Lydia Figes,1
George Anderson,1
Keith Rockmael,1
Elliott Stein,1
Nancy Gail Reagan,1
Geoff Carter,1
Laura Beeston,1
Geoff Baker,1
Genelle Pugmire,1
Gene Stout,1
Liam Mathews,1
Naman Ramachandran,1
Lydia Gan,1
Gemma Pecorini Goodall,1
Sophie Verlane,1
Emily Cheng,1
Gemma James,1
Emily Killick,1
Mike Emery,1
Emily Phillips,1
Mike Gallucci,1
Emily Rome,1
Gavin Watson,1
N.V. Cooper,1
Emma Brockes,1
N. K. Carter,1
Gautaman Bhaskaran,1
Tim Hall,1
Mike Lee,1
Mike Lovett,1
Murray Whyte,1
Gary M. Kramer,1
Gary Green,1
Tim Hill,1
Emma Spedding,1
Stephen Cavalier,1
Gary Dretzka,1
Emma Trelles,1
Keith Bailey,1
Sofiya Ballin,1
Seth Abramovitch,1
Gary Collinson,1
En Filme Staff,1
Garth Stahl,1
Mike McDaniel,1
Mike McGrady,1
Enrique Fernandez,1
Enrique Lopetegui,1
Leor Galil,1
Garrett Green,1
Amy DiLuna,1
Eric Brach,1
Morgan Jeffery,1
Gareth Shaw,1
Eric Deggans,1
Eric Diaz,1
Gareth Jones,1
Monty Smith,1
Eric Gwinn,1
Adam Bouyamourn,1
Mike Musgrove,1
Mike Prevatt,1
Lyn Cockburn,1
Monika Fabian,1
Gabriella Gershenson,1
Monica Riese,1
Gabriela Muñoz,1
Gabriela Meza,1
Gabriela Helfet,1
Eric Winkler,1
Gabriel Bergmoser,1
Erick Estrada,1
Erick Ortiz,1
Tim Postins,1
Tim Purtell,1
Fuminobu Hata,1
Molly Laich,1
Selina Robertson,1
Miya Abe,1
Mitchell Vantrease,1
Mike Robinson,1
Erika Gonzalez,1
Amy Harris,1
Amy Joyce,1
Fred Shuster,1
Erin Fox,1
Fred M. Faour,1
Fred Lambert,1
Fred Camper,1
Erin Richter,1
Fraser Abe,1
Kayt Bochenski and Nelly Twort,1
Ernesto Lechner,1
Amy McNeill,1
Estephania Hernández Jaramillo,1
Esther Lee,1
Tim Surette,1
Esther Yi,1
Tim Teeman,1
Mike Shen,1
Francis Rizzo III,1
Mike Thomas,1
Mike Tsenti,1
Francesca Chapman,1
Mireia Mullor,1
Euan Franklin,1
Ylan Q. Mui,1
Kayleigh Hughes,1
Eugenia Williamson,1
Timothy Mangan,1
Amy Ratcliffe,1
Amy Ridout,1
Evan Gatehouse,1
Miranda Sawyer,1
Miranda Sanchez,1
Evan Sawdey,1
Mina Takla,1
Forrest Green III,1
Seongyong Cho,1
Evelyn Lau,1
Evelyn McDonnell,1
Evening Standard Staff,1
Fiona Ng,1
Fiona Morrow,1
Fiona Maloney-McCrystle,1
Film School Rejects Staff,1
F.X. Feeney,1
Fabiola Santiago,1
Kayla Marie,1
Toby Rose,1
Milton Kent,1
Les Chappell,1
Tina Jordan,1
Millicent Mayfield,1
Felix Gonzalez Jr.,1
Amy Verner,1
Fenella Kernebone,1
Fernanda López,1
Les Wright,1
Fernando E. Juan Lima,1
Roddy Woomble,1
Rod McCance,1
An Banh,1
Rod Liddle,1
Lynda Gorov,1
Sophie Atherton,1
Ángel Agudo,1
Rochelle Bassarear,1
Larry Rodgers,1
Lynde McCormick,1
Andrea Battleground,1
Rocco Landesman,1
Katie Todd,1
Rocco B. Colella,1
Lynnette Porter,1
Andrea Hubert,1
Lesley O'Toole,1
Stephen Daultrey,1
M Suganth,1
Lesli Goff,1
Andreas Neuenkirchen,1
Katie Pagnotta,1
Andrew Arbuckle,1
Sophie Brown,1
Katie McCabe,1
Larry Getlen,1
Adam Rayner,1
Katie Columbus,1
Andrew Dansby,1
Ryan J. Downey,1
Katie Awad,1
Kathy Stephenson,1
Leslie Katz,1
Kathy Bell,1
Kathryn Baker,1
Andrew Geller,1
Adam Tanswell,1
Kathleen Shea,1
