critic_name,genre,reviews_amount
A.O. Scott,Action & Adventure,571
A.O. Scott,Animation,219
A.O. Scott,Anime & Manga,2
A.O. Scott,Art House & International,291
A.O. Scott,Classics,15
A.O. Scott,Comedy,1282
A.O. Scott,Cult Movies,3
A.O. Scott,Documentary,110
A.O. Scott,Drama,1586
A.O. Scott,Faith & Spirituality,6
A.O. Scott,Gay & Lesbian,5
A.O. Scott,Horror,108
A.O. Scott,Kids & Family,297
A.O. Scott,Musical & Performing Arts,89
A.O. Scott,Mystery & Suspense,388
A.O. Scott,Romance,280
A.O. Scott,Science Fiction & Fantasy,271
A.O. Scott,Special Interest,103
A.O. Scott,Sports & Fitness,22
A.O. Scott,Television,16
A.O. Scott,Western,25
Alistair Harkness,Action & Adventure,637
Alistair Harkness,Animation,238
Alistair Harkness,Anime & Manga,1
Alistair Harkness,Art House & International,281
Alistair Harkness,Classics,6
Alistair Harkness,Comedy,722
Alistair Harkness,Cult Movies,2
Alistair Harkness,Documentary,48
Alistair Harkness,Drama,1113
Alistair Harkness,Faith & Spirituality,1
Alistair Harkness,Gay & Lesbian,3
Alistair Harkness,Horror,207
Alistair Harkness,Kids & Family,239
Alistair Harkness,Musical & Performing Arts,53
Alistair Harkness,Mystery & Suspense,414
Alistair Harkness,Romance,169
Alistair Harkness,Science Fiction & Fantasy,361
Alistair Harkness,Special Interest,41
Alistair Harkness,Sports & Fitness,12
Alistair Harkness,Television,4
Alistair Harkness,Western,19
Allan Hunter,Action & Adventure,667
Allan Hunter,Animation,282
Allan Hunter,Art House & International,360
Allan Hunter,Classics,44
Allan Hunter,Comedy,774
Allan Hunter,Cult Movies,3
Allan Hunter,Documentary,56
Allan Hunter,Drama,1304
Allan Hunter,Gay & Lesbian,2
Allan Hunter,Horror,134
Allan Hunter,Kids & Family,269
Allan Hunter,Musical & Performing Arts,75
Allan Hunter,Mystery & Suspense,378
Allan Hunter,Romance,215
Allan Hunter,Science Fiction & Fantasy,366
Allan Hunter,Special Interest,44
Allan Hunter,Sports & Fitness,8
Allan Hunter,Television,8
Allan Hunter,Western,29
Andrea Chase,Action & Adventure,1234
Andrea Chase,Animation,428
Andrea Chase,Anime & Manga,2
Andrea Chase,Art House & International,116
Andrea Chase,Classics,33
Andrea Chase,Comedy,1531
Andrea Chase,Cult Movies,3
Andrea Chase,Documentary,112
Andrea Chase,Drama,1702
Andrea Chase,Gay & Lesbian,1
Andrea Chase,Horror,313
Andrea Chase,Kids & Family,512
Andrea Chase,Musical & Performing Arts,52
Andrea Chase,Mystery & Suspense,775
Andrea Chase,Romance,333
Andrea Chase,Science Fiction & Fantasy,775
Andrea Chase,Special Interest,109
Andrea Chase,Sports & Fitness,9
Andrea Chase,Television,9
Andrea Chase,Western,37
Bill Gibron,Action & Adventure,1293
Bill Gibron,Animation,455
Bill Gibron,Anime & Manga,2
Bill Gibron,Art House & International,170
Bill Gibron,Classics,32
Bill Gibron,Comedy,1346
Bill Gibron,Cult Movies,1
Bill Gibron,Documentary,85
Bill Gibron,Drama,1190
Bill Gibron,Faith & Spirituality,4
Bill Gibron,Gay & Lesbian,1
Bill Gibron,Horror,424
Bill Gibron,Kids & Family,530
Bill Gibron,Musical & Performing Arts,82
Bill Gibron,Mystery & Suspense,749
Bill Gibron,Romance,187
Bill Gibron,Science Fiction & Fantasy,803
Bill Gibron,Special Interest,85
Bill Gibron,Sports & Fitness,12
Bill Gibron,Television,4
Bill Gibron,Western,33
Bill Goodykoontz,Action & Adventure,1019
Bill Goodykoontz,Animation,385
Bill Goodykoontz,Art House & International,171
Bill Goodykoontz,Classics,13
Bill Goodykoontz,Comedy,1190
Bill Goodykoontz,Cult Movies,3
Bill Goodykoontz,Documentary,115
Bill Goodykoontz,Drama,1586
Bill Goodykoontz,Faith & Spirituality,4
Bill Goodykoontz,Gay & Lesbian,1
Bill Goodykoontz,Horror,246
Bill Goodykoontz,Kids & Family,418
Bill Goodykoontz,Musical & Performing Arts,78
Bill Goodykoontz,Mystery & Suspense,598
Bill Goodykoontz,Romance,268
Bill Goodykoontz,Science Fiction & Fantasy,616
Bill Goodykoontz,Special Interest,74
Bill Goodykoontz,Sports & Fitness,18
Bill Goodykoontz,Television,9
Bill Goodykoontz,Western,39
Bob Bloom,Action & Adventure,1113
Bob Bloom,Animation,386
Bob Bloom,Art House & International,68
Bob Bloom,Classics,275
Bob Bloom,Comedy,999
Bob Bloom,Cult Movies,11
Bob Bloom,Documentary,30
Bob Bloom,Drama,1357
Bob Bloom,Horror,193
Bob Bloom,Kids & Family,458
Bob Bloom,Musical & Performing Arts,112
Bob Bloom,Mystery & Suspense,550
Bob Bloom,Romance,293
Bob Bloom,Science Fiction & Fantasy,715
Bob Bloom,Special Interest,71
Bob Bloom,Sports & Fitness,24
Bob Bloom,Television,4
Bob Bloom,Western,81
Brian Orndorf,Action & Adventure,2600
Brian Orndorf,Animation,943
Brian Orndorf,Anime & Manga,2
Brian Orndorf,Art House & International,530
Brian Orndorf,Classics,96
